caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
1965-122,1965-122-01,1965-122-01-01,1965-122-01-01-01,6/13/66,1,384 U.S. 436,86 S. Ct. 1602,16 L. Ed. 2d 694,1966 U.S. LEXIS 2817,1965,1409,Warren,759,MIRANDA v. ARIZONA,2/28/66,,100,,28,4,1,,,0,302,4,300,4,0,11,2,1,1,3,0,1,1,0,10100,1,2,0,2,,2,210,,90,90,1,5,4
1966-039,1966-039-01,1966-039-01-01,1966-039-01-01-01,1/16/67,7,385 U.S. 511,87 S. Ct. 625,17 L. Ed. 2d 574,1967 U.S. LEXIS 2504,1966,1409,Warren,62,SPEVACK v. KLEIN,11/7/66,,111,,6,37,1,,,0,301,37,300,37,0,11,2,1,1,3,0,1,1,0,10090,1,2,0,2,,2,210,,81,90,1,5,4
1966-044,1966-044-01,1966-044-01-01,1966-044-01-01-01,1/23/67,1,385 U.S. 589,87 S. Ct. 675,17 L. Ed. 2d 629,1967 U.S. LEXIS 2454,1966,1409,Warren,105,KEYISHIAN et al. v. BOARD OF REGENTS OF THE UNIVERSITY OF THE STATE OF NEW YORK et al.,11/17/66,,8,37,26,37,2,,,1,97,,97,,0,1,,1,3,4,0,1,1,0,30110,3,2,0,2,,2,200,,92,90,1,5,4
1966-108,1966-108-01,1966-108-01-01,1966-108-01-01-01,5/29/67,1,387 U.S. 253,87 S. Ct. 1660,18 L. Ed. 2d 757,1967 U.S. LEXIS 2844,1966,1409,Warren,456,"AFROYIM v. RUSK, SECRETARY OF STATE",2/20/67,,106,,328,,1,28,,0,96,,22,,0,11,2,1,2,3,0,1,1,0,20280,2,2,0,1,,2,229,,78,90,1,5,4
1966-109,1966-109-01,1966-109-01-01,1966-109-01-01-01,5/29/67,1,387 U.S. 294,87 S. Ct. 1642,18 L. Ed. 2d 782,1967 U.S. LEXIS 2753,1966,1409,Warren,480,"WARDEN, MARYLAND PENITENTIARY v. HAYDEN",4/12/67,,28,25,100,,1,,,0,79,,24,,1,12,3,2,1,3,0,1,1,1,10050,1,1,0,2,,2,205,,92,78,1,6,3
1966-116,1966-116-01,1966-116-01-01,1966-116-01-01-01,6/5/67,1,387 U.S. 523,87 S. Ct. 1727,18 L. Ed. 2d 930,1967 U.S. LEXIS 1254,1966,1409,Warren,92,CAMARA v. MUNICIPAL COURT OF THE CITY AND COUNTY OF SAN FRANCISCO,2/15/67,,195,,6,6,2,,,0,302,6,301,6,0,1,2,1,4,5,0,1,1,0,10050,1,2,0,2,,2,205,,95,90,1,6,3
1966-122,1966-122-01,1966-122-01-01,1966-122-01-01-01,6/12/67,1,388 U.S. 41,87 S. Ct. 1873,18 L. Ed. 2d 1040,1967 U.S. LEXIS 2964,1966,1409,Warren,615,BERGER v. NEW YORK,4/13/67,,100,,28,37,1,,,0,302,37,300,37,1,12,2,1,3,3,0,1,1,0,10050,1,2,0,2,,2,205,,88,90,1,6,3
1967-043,1967-043-01,1967-043-01-01,1967-043-01-01-01,12/18/67,1,389 U.S. 347,88 S. Ct. 507,19 L. Ed. 2d 576,1967 U.S. LEXIS 2,1967,1410,Warren,35,KATZ v. UNITED STATES,10/17/67,,100,,27,,1,,,0,51,,29,,0,11,2,1,1,3,0,1,1,0,10050,1,2,0,1,,2,205,,94,90,1,7,1
1967-061,1967-061-01,1967-061-01-01,1967-061-01-01-01,1/29/68,1,390 U.S. 39,88 S. Ct. 697,19 L. Ed. 2d 889,1968 U.S. LEXIS 3130,1967,1410,Warren,2,MARCHETTI v. UNITED STATES,1/17/67,10/10/67,240,,27,,1,,,0,53,,22,,0,11,2,1,2,3,0,1,1,0,10090,1,2,0,4,,3,345,,91,78,1,7,1
1967-116,1967-116-01,1967-116-01-01,1967-116-01-01-01,5/20/68,1,391 U.S. 54,88 S. Ct. 1549,20 L. Ed. 2d 426,1968 U.S. LEXIS 1628,1967,1410,Warren,802,"PEYTON, PENITENTIARY SUPERINTENDENT v. ROWE et al.",3/27/68,,28,55,215,,1,,,0,127,,24,,0,11,3,2,1,2,0,0,1,0,10020,1,2,0,4,,3,341,,90,90,1,9,0
1967-121,1967-121-01,1967-121-01-01,1967-121-01-01-01,5/20/68,1,391 U.S. 123,88 S. Ct. 1620,20 L. Ed. 2d 476,1968 U.S. LEXIS 1630,1967,1410,Warren,705,BRUTON v. UNITED STATES,3/11/68,,100,,27,,1,,,0,86,,28,,0,11,2,1,1,3,0,1,1,0,10270,1,2,0,1,,2,213,,92,90,1,6,2
1967-122,1967-122-01,1967-122-01-01,1967-122-01-01-01,5/20/68,1,391 U.S. 145,88 S. Ct. 1444,20 L. Ed. 2d 491,1968 U.S. LEXIS 1631,1967,1410,Warren,410,DUNCAN v. LOUISIANA,1/17/68,,100,,28,22,2,,,0,302,22,300,22,0,1,9,1,1,4,0,1,1,0,10580,1,2,0,2,,2,215,,95,90,1,7,2
1967-126,1967-126-01,1967-126-01-01,1967-126-01-01-01,5/20/68,1,391 U.S. 234,88 S. Ct. 1556,20 L. Ed. 2d 554,1968 U.S. LEXIS 2995,1967,1410,Warren,71,"CARAFAS v. LAVALLEE, WARDEN",3/27/68,,100,,28,37,1,,,0,95,,22,,0,11,9,1,1,5,0,1,1,0,10020,1,2,0,4,,3,341,,97,90,1,8,0
1967-179,1967-179-01,1967-179-01-01,1967-179-01-01-01,6/17/68,1,392 U.S. 378,88 S. Ct. 2096,20 L. Ed. 2d 1166,1968 U.S. LEXIS 3098,1967,1410,Warren,174,LEE et al. v. FLORIDA,5/2/68,,100,,28,12,1,,,0,302,12,301,12,0,11,2,1,1,3,0,1,1,0,10050,1,2,0,4,,3,326,,94,90,1,6,3
1967-181,1967-181-01,1967-181-01-01,1967-181-01-01-01,6/17/68,1,392 U.S. 409,88 S. Ct. 2186,20 L. Ed. 2d 1189,1968 U.S. LEXIS 2980,1967,1410,Warren,645,JONES ET UX. v. ALFRED H. MAYER CO. et al.,4/1/68,,222,,139,,1,,,0,86,,28,,0,11,2,1,1,3,0,1,1,0,20040,2,2,0,4,,3,342,,94,90,1,7,2
1968-091,1968-091-01,1968-091-01-01,1968-091-01-01-01,5/5/69,1,394 U.S. 814,89 S. Ct. 1493,23 L. Ed. 2d 1,1969 U.S. LEXIS 1700,1968,1410,Warren,620,"MOORE et al. v. OGILVIE, GOVERNOR OF ILLINOIS, et al.",3/27/69,,211,,4,17,2,117,17,1,66,,66,,0,1,9,1,3,3,0,1,1,0,20030,2,2,0,2,,2,231,,81,90,1,7,2
1968-124,1968-124-01,1968-124-01-01,1968-124-01-01-01,6/9/69,6,395 U.S. 444,89 S. Ct. 1827,23 L. Ed. 2d 430,1969 U.S. LEXIS 1367,1968,1411,Warren,492,BRANDENBURG v. OHIO,2/27/69,,218,,28,41,2,,,0,302,41,300,41,0,1,9,1,3,3,0,1,1,0,30010,3,2,0,2,,2,200,,,90,1,8,0
1968-131,1968-131-01,1968-131-01-01,1968-131-01-01-01,6/16/69,1,395 U.S. 653,89 S. Ct. 1902,23 L. Ed. 2d 610,1969 U.S. LEXIS 3099,1968,1411,Warren,56,"LEAR, INC. v. ADKINS",11/20/68,,103,,172,,1,,,0,302,6,300,6,0,11,3,2,1,5,0,1,1,1,80180,8,1,0,7,,5,507,,91,91,1,5,3
1968-136,1968-136-01,1968-136-01-01,1968-136-01-01-01,6/23/69,1,395 U.S. 752,89 S. Ct. 2034,23 L. Ed. 2d 685,1969 U.S. LEXIS 1166,1968,1411,Warren,770,CHIMEL v. CALIFORNIA,3/27/69,,110,,28,6,1,,,0,302,6,300,6,0,11,2,1,1,3,0,1,1,0,10050,1,2,0,2,,2,205,,94,90,1,6,2
1968-137,1968-137-01,1968-137-01-01,1968-137-01-01-01,6/23/69,1,395 U.S. 784,89 S. Ct. 2056,23 L. Ed. 2d 707,1969 U.S. LEXIS 1167,1968,1411,Warren,201,BENTON v. MARYLAND,3/24/69,,100,,28,25,1,,,0,302,25,301,25,0,12,2,1,1,4,0,1,1,0,10170,1,2,0,2,7,2,206,,98,90,1,6,2
1969-072,1969-072-01,1969-072-01-01,1969-072-01-01-01,4/6/70,1,397 U.S. 436,90 S. Ct. 1189,25 L. Ed. 2d 469,1970 U.S. LEXIS 54,1969,1501,Burger,57,"ASHE v. SWENSON, WARDEN",11/13/69,,126,,28,30,1,,,0,87,,28,,0,10,2,1,1,3,0,1,1,0,10170,1,2,0,2,,2,206,,94,78,1,7,1
1969-102,1969-102-01,1969-102-01-01,1969-102-01-01-01,6/1/70,1,398 U.S. 235,90 S. Ct. 1583,26 L. Ed. 2d 199,1970 U.S. LEXIS 79,1969,1501,Burger,768,"BOYS MARKETS, INC. v. RETAIL CLERKS UNION, LOCAL 770",4/21/70,,151,,249,,1,,,0,48,,29,,0,12,3,2,1,4,0,1,1,0,70010,7,1,0,4,,3,357,,92,99,1,5,2
1969-110,1969-110-01,1969-110-01-01,1969-110-01-01-01,6/15/70,1,398 U.S. 323,90 S. Ct. 1757,26 L. Ed. 2d 300,1970 U.S. LEXIS 22,1969,1502,Burger,269,PRICE v. GEORGIA,4/27/70,,126,,28,13,1,,,0,302,13,300,13,0,12,2,1,1,4,0,1,1,0,10170,1,2,0,2,,2,206,,99,99,1,8,0
1969-112,1969-112-01,1969-112-01-01,1969-112-01-01-01,6/15/70,1,398 U.S. 375,90 S. Ct. 1772,26 L. Ed. 2d 339,1970 U.S. LEXIS 76,1969,1502,Burger,175,"MORAGNE v. STATES MARINE LINES, INC., et al.",3/4/70,,145,,116,,1,,,0,56,,25,,0,10,2,1,1,4,0,1,1,0,80050,8,2,0,7,,,,,91,99,1,8,0
1969-121,1969-121-01,1969-121-01-01,1969-121-01-01-01,6/22/70,1,399 U.S. 78,90 S. Ct. 1893,26 L. Ed. 2d 446,1970 U.S. LEXIS 98,1969,1502,Burger,927,WILLIAMS v. FLORIDA,3/4/70,,100,,28,12,1,,,0,302,12,301,12,0,12,2,1,1,2,0,0,1,0,10090,1,1,0,2,,2,210,,95,99,1,6,2
1970-095,1970-095-01,1970-095-01-01,1970-095-01-01-01,5/3/71,1,402 U.S. 313,91 S. Ct. 1434,28 L. Ed. 2d 788,1971 U.S. LEXIS 119,1970,1502,Burger,338,"BLONDER-TONGUE LABORATORIES, INC. v. UNIVERSITY OF ILLINOIS FOUNDATION et al.",1/14/71,,184,,172,,1,,,0,66,,27,,0,2,2,1,1,5,0,1,1,0,80180,8,2,0,7,,5,507,,95,99,1,9,0
1970-115,1970-115-01,1970-115-01-01,1970-115-01-01-01,6/1/71,1,402 U.S. 637,91 S. Ct. 1704,29 L. Ed. 2d 233,1971 U.S. LEXIS 127,1970,1502,Burger,5175,"PEREZ ET UX. v. CAMPBELL, SUPERINTENDENT, MOTOR VEHICLE DIVISION, ARIZONA HIGHWAY DEPARTMENT, et al.",1/19/71,,177,,28,4,1,117,4,0,45,,29,,0,12,2,1,3,4,0,1,1,0,80030,8,2,0,4,,3,307,,95,78,1,5,4
1970-123,1970-123-01,1970-123-01-01,1970-123-01-01-01,6/7/71,1,403 U.S. 88,91 S. Ct. 1790,29 L. Ed. 2d 338,1971 U.S. LEXIS 3774,1970,1502,Burger,144,GRIFFIN et al. v. BRECKENRIDGE et al.,1/13/71,,222,,214,,1,,,0,85,,25,,0,12,2,1,1,4,0,1,1,0,20400,2,2,0,4,,3,315,,94,99,1,9,0
